battery,feature,horizon,metric,block_length,bootstrap_n,estimate,ci_low,ci_high,n
CS2_35,HF4,4,degradation_spearman,10,1000,0.1444125851673712,0.0057548011224391685,0.26924773763426574,574
CS2_35,HF4,4,partial_pearson_controlling_SOH,10,1000,-0.01848456887433766,-0.1771314638366235,0.13012038700644896,574
CS2_35,HF4,4,degradation_pearson,20,1000,-0.004477293679808928,-0.0939823059352682,0.1101555412087052,574
CS2_35,HF4,4,degradation_spearman,20,1000,0.14720456332930185,0.02188848792777058,0.27538940148694246,574
CS2_35,HF4,4,partial_pearson_controlling_SOH,20,1000,-0.02564244310929705,-0.1898119585119691,0.12555019801726025,574
CS2_35,HF4,4,degradation_pearson,30,1000,-0.0016752562617503017,-0.0932156134156473,0.12000046242461049,574
CS2_35,HF4,4,degradation_spearman,30,1000,0.14743570366774886,0.018283006937723195,0.29314490269035265,574
CS2_35,HF4,4,partial_pearson_controlling_SOH,30,1000,-0.013549208876483879,-0.18406773718920372,0.13500359438605716,574
CS2_35,HF5,4,degradation_pearson,10,1000,0.056148343985112585,-0.0625415169824791,0.16788886158555053,573
CS2_35,HF5,4,degradation_spearman,10,1000,0.2117668837821921,0.07735493979014624,0.3387278263554003,573
CS2_35,HF5,4,partial_pearson_controlling_SOH,10,1000,-0.19066588986518523,-0.2503895491230416,-0.12720620683077605,573
CS2_35,HF5,4,degradation_pearson,20,1000,0.06063528041721925,-0.050107375282274755,0.16862958442080622,573
CS2_35,HF5,4,degradation_spearman,20,1000,0.22088550727862694,0.09722442534308727,0.33891004086434234,573
CS2_35,HF5,4,partial_pearson_controlling_SOH,20,1000,-0.19188368731425198,-0.25209478690569254,-0.12879253466235915,573
CS2_35,HF5,4,degradation_pearson,30,1000,0.05766423314185028,-0.0475465830061337,0.18820141385035552,573
CS2_35,HF5,4,degradation_spearman,30,1000,0.21460936355980414,0.07751324984694126,0.3651922985283373,573
CS2_35,HF5,4,partial_pearson_controlling_SOH,30,1000,-0.19058274120352275,-0.2587680046422924,-0.12681529148555507,573
CS2_35,HF6,4,degradation_pearson,10,1000,0.06251391117083516,-0.02887845391929948,0.16475177736356522,573
CS2_35,HF6,4,degradation_spearman,10,1000,0.20724242698207082,0.09428757555679364,0.32580096328233166,573
CS2_35,HF6,4,partial_pearson_controlling_SOH,10,1000,-0.13806787899140704,-0.23978869940752065,-0.03340673411996663,573
CS2_35,HF6,4,degradation_pearson,20,1000,0.06368484009362513,-0.021333347382648776,0.16191975791690924,573
CS2_35,HF6,4,degradation_spearman,20,1000,0.21262112098537608,0.10471003304933378,0.32844553752419015,573
CS2_35,HF6,4,partial_pearson_controlling_SOH,20,1000,-0.14149173920333907,-0.2446514612665466,-0.02314883353265568,573
CS2_35,HF6,4,degradation_pearson,30,1000,0.06082523679864835,-0.026446896753945834,0.16591957720383174,573
CS2_35,HF6,4,degradation_spearman,30,1000,0.20884769170850753,0.0918180579167488,0.33864091494674453,573
CS2_35,HF6,4,partial_pearson_controlling_SOH,30,1000,-0.13645873187755772,-0.23442497782170849,-0.02498534334422248,573
CS2_35,HF7,4,degradation_pearson,10,1000,-0.07492211916875019,-0.1494448132008721,-0.006409657111403023,872
CS2_35,HF7,4,degradation_spearman,10,1000,-0.09824763307729927,-0.21935891870139992,0.024619832950967258,872
CS2_35,HF7,4,partial_pearson_controlling_SOH,10,1000,0.42000757350929424,0.2605826857792129,0.6062307086199,872
CS2_35,HF7,4,degradation_pearson,20,1000,-0.07297888587183893,-0.14021348566943914,-0.010595527297098544,872
CS2_35,HF7,4,degradation_spearman,20,1000,-0.09681264178876323,-0.215288680367444,0.03899298639945343,872
CS2_35,HF7,4,partial_pearson_controlling_SOH,20,1000,0.4260034225186199,0.24973725746350964,0.6118498312380933,872
CS2_35,HF7,4,degradation_pearson,30,1000,-0.06858446153862435,-0.13744284353608086,-0.008662983998732228,872
CS2_35,HF7,4,degradation_spearman,30,1000,-0.08635196707990628,-0.22448584929605953,0.0769872521257463,872
CS2_35,HF7,4,partial_pearson_controlling_SOH,30,1000,0.42891006448207636,0.25094767701591697,0.613340795328612,872
CS2_35,HF8,4,degradation_pearson,10,1000,0.08144492521365809,0.004381617572099856,0.16185059362806536,848
CS2_35,HF8,4,degradation_spearman,10,1000,0.05770423413316206,-0.08399018921620968,0.18630924946641814,848
CS2_35,HF8,4,partial_pearson_controlling_SOH,10,1000,0.08533660873262836,0.00903866982050571,0.17296198548116776,848
CS2_35,HF8,4,degradation_pearson,20,1000,0.08331657322159966,0.003304365983444022,0.17833427990002435,848
CS2_35,HF8,4,degradation_spearman,20,1000,0.056243915628377,-0.09382553492995531,0.18332740304040937,848
CS2_35,HF8,4,partial_pearson_controlling_SOH,20,1000,0.0872573179510834,0.00449205054292275,0.18188714263481412,848
CS2_35,HF8,4,degradation_pearson,30,1000,0.08400788141197875,-0.008239631123061909,0.1691952514927546,848
