battery,feature,horizon,metric,value,rmse_value,mae_without,mae_full,alpha,n_test
CS2_36,SOH,12,MAE_minus_full,9.836225827449668e-06,9.036366251378297e-05,0.01893399810050139,0.01892416187467394,10.0,961
CS2_36,HF1,12,MAE_minus_full,-0.0002506103072071504,-0.00021941285664280746,0.01867355156746679,0.01892416187467394,10.0,961
CS2_36,HF2,12,MAE_minus_full,-0.0003353910943717023,-0.0001502082770538371,0.018588770780302237,0.01892416187467394,10.0,961
CS2_36,HF3,12,MAE_minus_full,0.0011861528499972317,0.003563530636546068,0.02011031472467117,0.01892416187467394,100.0,961
CS2_36,HF4,12,MAE_minus_full,0.0005372252282673587,0.00014446574303501186,0.019461387102941298,0.01892416187467394,100.0,961
CS2_36,HF5,12,MAE_minus_full,6.199505663099028e-05,3.442258578574553e-06,0.01898615693130493,0.01892416187467394,100.0,961
CS2_36,HF6,12,MAE_minus_full,0.00036152897589564886,6.205886230729873e-05,0.019285690850569588,0.01892416187467394,10.0,961
CS2_36,HF7,12,MAE_minus_full,-0.00013006915161245178,-0.00011500529100297308,0.018794092723061488,0.01892416187467394,10.0,961
CS2_36,HF8,12,MAE_minus_full,-0.0002377079408349518,-0.00021683155391940406,0.018686453933838987,0.01892416187467394,10.0,961
CS2_37,SOH,12,MAE_minus_full,0.00040630614629808687,0.0009611958401849474,0.01779679711840586,0.017390490972107774,10.0,1026
CS2_37,HF1,12,MAE_minus_full,-3.6705717835625734e-05,-2.2609155933196734e-05,0.01735378525427215,0.017390490972107774,10.0,1026
CS2_37,HF2,12,MAE_minus_full,-2.345679776659393e-06,0.0001272529385094312,0.017388145292331115,0.017390490972107774,10.0,1026
CS2_37,HF3,12,MAE_minus_full,0.0013951799760411263,0.0031344737072325005,0.0187856709481489,0.017390490972107774,100.0,1026
CS2_37,HF4,12,MAE_minus_full,0.0003707674180700518,7.987170974202429e-05,0.017761258390177826,0.017390490972107774,10.0,1026
CS2_37,HF5,12,MAE_minus_full,0.00017197231426654275,4.762581793591597e-05,0.017562463286374317,0.017390490972107774,10.0,1026
CS2_37,HF6,12,MAE_minus_full,2.4732417130343687e-06,2.1092280776263683e-05,0.01739296421382081,0.017390490972107774,10.0,1026
CS2_37,HF7,12,MAE_minus_full,-1.4455147576239447e-05,4.969945281107363e-05,0.017376035824531535,0.017390490972107774,10.0,1026
CS2_37,HF8,12,MAE_minus_full,1.2979956666846204e-05,1.8767883194020785e-05,0.01740347092877462,0.017390490972107774,10.0,1026
CS2_38,SOH,12,MAE_minus_full,-0.0003920064167441707,-0.0005044942450430218,0.017558088133367213,0.017950094550111383,0.01,1016
CS2_38,HF1,12,MAE_minus_full,-0.0006567872624490961,-0.00019084705678673597,0.017293307287662287,0.017950094550111383,10.0,1016
CS2_38,HF2,12,MAE_minus_full,0.0003277568258105226,8.273266633091608e-05,0.018277851375921906,0.017950094550111383,100.0,1016
CS2_38,HF3,12,MAE_minus_full,0.0009288328126049843,0.002358895792768649,0.018878927362716368,0.017950094550111383,100.0,1016
CS2_38,HF4,12,MAE_minus_full,0.0003459447849897615,0.00014893698491783708,0.018296039335101145,0.017950094550111383,100.0,1016
CS2_38,HF5,12,MAE_minus_full,3.415329987222285e-05,4.028359589895725e-06,0.017984247849983606,0.017950094550111383,100.0,1016
CS2_38,HF6,12,MAE_minus_full,0.0008281257683744117,0.00021566276182441446,0.018778220318485795,0.017950094550111383,100.0,1016
CS2_38,HF7,12,MAE_minus_full,-0.0006816162432412148,-0.0002289738522458229,0.01726847830687017,0.017950094550111383,10.0,1016
CS2_38,HF8,12,MAE_minus_full,-0.00022460340148976188,-0.00011561128998516246,0.01772549114862162,0.017950094550111383,0.01,1016
CS2_35,SOH,16,MAE_minus_full,0.00035053781781253443,0.0022819593103374433,0.020252824569933332,0.019902286752120798,10.0,866
CS2_35,HF1,16,MAE_minus_full,8.551096443495249e-05,-0.0003527111158461299,0.01998779771655575,0.019902286752120798,10.0,866
CS2_35,HF2,16,MAE_minus_full,-0.00021364628286859796,1.6637897672630575e-05,0.0196886404692522,0.019902286752120798,10.0,866
CS2_35,HF3,16,MAE_minus_full,0.001075982705058466,0.00046898392407941636,0.020978269457179264,0.019902286752120798,100.0,866
CS2_35,HF4,16,MAE_minus_full,9.194914833457121e-05,0.00019499305136549266,0.01999423590045537,0.019902286752120798,10.0,866
CS2_35,HF5,16,MAE_minus_full,-3.5365200142498804e-05,3.492447346740285e-05,0.0198669215519783,0.019902286752120798,10.0,866
CS2_35,HF6,16,MAE_minus_full,0.0007517213670503523,0.00020948631107797072,0.02065400811917115,0.019902286752120798,10.0,866
