feature,horizon,metric,mean,median,std,count
SOH,1,spearman,0.9642491161115399,0.9657495045579134,0.005363380971578038,4
SOH,4,pearson,0.9683875099530147,0.9706910440838101,0.016399172189590507,4
SOH,4,spearman,0.960273875568629,0.9619383003484098,0.005838626548864528,4
SOH,8,pearson,0.9678962763520678,0.9688038367839269,0.014266376574503555,4
SOH,8,spearman,0.9604693826561999,0.9604758781988887,0.0017914770723092156,4
SOH,12,pearson,0.9654461858473042,0.9675724587847727,0.016195487254261193,4
SOH,12,spearman,0.955872678136539,0.9563189523909943,0.00540905127813953,4
SOH,16,pearson,0.9642743065058735,0.9672764200909245,0.016376845304323474,4
SOH,16,spearman,0.9553980771184228,0.9547352786643084,0.0075779165739446,4
SOH,24,pearson,0.9614078239705628,0.9640744680928466,0.01576724279012105,4
SOH,24,spearman,0.9528653087797974,0.9518646839503682,0.007191374391637311,4
SOH,32,pearson,0.9578567656435846,0.9607474633623871,0.016659432095777842,4
SOH,32,spearman,0.9500010167045191,0.9491065080726531,0.00788613443101598,4
SOH,48,pearson,0.9527879416825559,0.9574239106537382,0.018137257856508663,4
SOH,48,spearman,0.9475657029342404,0.9502787090552196,0.01185569784694073,4
SOH,64,pearson,0.9481380191868447,0.95266475307507,0.018987095736248343,4
SOH,64,spearman,0.9431748011546529,0.9457403399690387,0.013134722298073245,4
