battery,feature,horizon,metric,value,rmse,alpha,history_length,n_test
CS2_37,C_complete_case_HF456,4,MAE,0.011306064423344237,0.021256469663626334,10.0,1,639
CS2_37,C_complete_case_HF456,4,MAE,0.011823714386610822,0.021435843032049526,100.0,1,639
CS2_38,C_complete_case_HF456,4,MAE,0.01202027618668638,0.0374773485745688,0.01,1,547
CS2_38,C_complete_case_HF456,4,MAE,0.012120252211608661,0.037450453412915884,0.1,1,547
CS2_38,C_complete_case_HF456,4,MAE,0.012214276321716991,0.03745801850517157,1.0,1,547
CS2_38,C_complete_case_HF456,4,MAE,0.012432004915503048,0.03755136358257458,10.0,1,547
CS2_38,C_complete_case_HF456,4,MAE,0.01341221032673994,0.0381347131806013,100.0,1,547
CS2_35,A_drop_HF456,8,MAE,0.016417204921359226,0.03416175772064019,0.01,1,874
CS2_35,A_drop_HF456,8,MAE,0.01626025529851162,0.0343222633277259,0.1,1,874
CS2_35,A_drop_HF456,8,MAE,0.016158721188917695,0.03441313326642757,1.0,1,874
CS2_35,A_drop_HF456,8,MAE,0.01603172596708743,0.03419839620733621,10.0,1,874
CS2_35,A_drop_HF456,8,MAE,0.016308228536833155,0.0335966777004072,100.0,1,874
CS2_36,A_drop_HF456,8,MAE,0.017633585892506427,0.053000240550692954,0.01,1,965
CS2_36,A_drop_HF456,8,MAE,0.017615680793823422,0.05308004492242347,0.1,1,965
CS2_36,A_drop_HF456,8,MAE,0.01769706520544606,0.05316645321377,1.0,1,965
CS2_36,A_drop_HF456,8,MAE,0.0176323834153416,0.05319886793973869,10.0,1,965
CS2_36,A_drop_HF456,8,MAE,0.017743551803161825,0.05335772754760455,100.0,1,965
CS2_37,A_drop_HF456,8,MAE,0.015287238252707658,0.039976306715287305,0.01,1,1030
CS2_37,A_drop_HF456,8,MAE,0.01509984728961731,0.04001934590125834,0.1,1,1030
CS2_37,A_drop_HF456,8,MAE,0.015032519763329092,0.04008725434483297,1.0,1,1030
CS2_37,A_drop_HF456,8,MAE,0.014960810214972066,0.04017011857033827,10.0,1,1030
CS2_37,A_drop_HF456,8,MAE,0.015410677952620761,0.04086200522011461,100.0,1,1030
CS2_38,A_drop_HF456,8,MAE,0.01621981549298877,0.04422653968818664,0.01,1,1020
CS2_38,A_drop_HF456,8,MAE,0.015482617473052511,0.04403551156318483,0.1,1,1020
CS2_38,A_drop_HF456,8,MAE,0.015235188320548715,0.04398953169742044,1.0,1,1020
CS2_38,A_drop_HF456,8,MAE,0.015289169398426943,0.04404655938928204,10.0,1,1020
CS2_38,A_drop_HF456,8,MAE,0.01659070800807245,0.04465294204471661,100.0,1,1020
CS2_35,B_HF456_median,8,MAE,0.016191605430917595,0.034002924884533,0.01,1,874
