battery,feature,horizon,metric,value,n_effective,support_rule,abs_partial,delta_abs_from_h1
CS2_38,HF5,1,pearson_partial_controlling_SOH,0.014695864891226922,550,horizon_common,0.014695864891226922,0.0
CS2_38,HF6,1,pearson_partial_controlling_SOH,-0.024661133974673656,550,horizon_common,0.024661133974673656,0.0
CS2_38,HF5,4,pearson_partial_controlling_SOH,-0.09502492561963763,549,horizon_common,0.09502492561963763,0.0803290607284107
CS2_38,HF6,4,pearson_partial_controlling_SOH,-0.12651997802656934,549,horizon_common,0.12651997802656934,0.10185884405189569
CS2_38,HF5,8,pearson_partial_controlling_SOH,-0.06662302572987305,551,horizon_common,0.06662302572987305,0.05192716083864613
CS2_38,HF6,8,pearson_partial_controlling_SOH,-0.1308257896210524,551,horizon_common,0.1308257896210524,0.10616465564637875
CS2_38,HF5,12,pearson_partial_controlling_SOH,-0.10629820743926197,550,horizon_common,0.10629820743926197,0.09160234254803504
CS2_38,HF6,12,pearson_partial_controlling_SOH,-0.1728542278045813,550,horizon_common,0.1728542278045813,0.14819309382990764
CS2_38,HF5,16,pearson_partial_controlling_SOH,-0.07837984284671787,549,horizon_common,0.07837984284671787,0.06368397795549094
CS2_38,HF6,16,pearson_partial_controlling_SOH,-0.13324281931495152,549,horizon_common,0.13324281931495152,0.10858168534027787
CS2_38,HF5,24,pearson_partial_controlling_SOH,-0.09433159806769777,549,horizon_common,0.09433159806769777,0.07963573317647085
CS2_38,HF6,24,pearson_partial_controlling_SOH,-0.13426244632078915,549,horizon_common,0.13426244632078915,0.1096013123461155
CS2_38,HF5,32,pearson_partial_controlling_SOH,-0.11757762100491546,549,horizon_common,0.11757762100491546,0.10288175611368855
CS2_38,HF6,32,pearson_partial_controlling_SOH,-0.188067093251946,549,horizon_common,0.188067093251946,0.16340595927727236
CS2_38,HF5,48,pearson_partial_controlling_SOH,-0.2017179779336308,549,horizon_common,0.2017179779336308,0.18702211304240388
CS2_38,HF6,48,pearson_partial_controlling_SOH,-0.20909407690695703,549,horizon_common,0.20909407690695703,0.18443294293228338
CS2_38,HF5,64,pearson_partial_controlling_SOH,-0.17766564690487813,550,horizon_common,0.17766564690487813,0.1629697820136512
CS2_38,HF6,64,pearson_partial_controlling_SOH,-0.20439609059431096,550,horizon_common,0.20439609059431096,0.17973495661963731
CS2_35,HF5,1,pearson_partial_controlling_SOH,-0.02829835148724163,573,feature_common,0.02829835148724163,0.0
CS2_35,HF6,1,pearson_partial_controlling_SOH,-0.08695152098340654,573,feature_common,0.08695152098340654,0.0
CS2_35,HF5,4,pearson_partial_controlling_SOH,-0.19476541243966244,572,feature_common,0.19476541243966244,0.1664670609524208
CS2_35,HF6,4,pearson_partial_controlling_SOH,-0.1331395590113738,572,feature_common,0.1331395590113738,0.04618803802796727
