battery,feature,horizon,metric,value,mae_without,mae_full,model_context,alpha,n_test,rank
CS2_38,Group_CC,1,MAE_minus_full,0.0009244679811386113,0.015008193304754842,0.014083725323616231,history_L32,1.0,996,1.0
CS2_38,Group_CV,1,MAE_minus_full,0.00036837069269904203,0.014452096016315273,0.014083725323616231,history_L32,1.0,996,3.0
CS2_38,Group_EnergyEfficiency,1,MAE_minus_full,0.0003962807507871275,0.014480006074403359,0.014083725323616231,history_L32,1.0,996,2.0
CS2_38,Group_DischargeIC,1,MAE_minus_full,0.0002001783445578758,0.014283903668174107,0.014083725323616231,history_L32,1.0,996,4.0
CS2_35,Group_CC,4,MAE_minus_full,0.0005520252719950422,0.014725997412982613,0.01417397214098757,history_L32,1.0,847,1.0
CS2_35,Group_CV,4,MAE_minus_full,-7.350188759955821e-05,0.014100470253388012,0.01417397214098757,history_L32,1.0,847,4.0
CS2_35,Group_EnergyEfficiency,4,MAE_minus_full,0.00033716499412694487,0.014511137135114515,0.01417397214098757,history_L32,1.0,847,2.0
CS2_35,Group_DischargeIC,4,MAE_minus_full,0.00018156916183413759,0.014355541302821708,0.01417397214098757,history_L32,1.0,847,3.0
CS2_36,Group_CC,4,MAE_minus_full,0.0006442008959025511,0.018263983726697793,0.017619782830795242,history_L32,1.0,938,1.0
CS2_36,Group_CV,4,MAE_minus_full,5.9958051704007975e-06,0.017625778635965643,0.017619782830795242,history_L32,1.0,938,3.0
CS2_36,Group_EnergyEfficiency,4,MAE_minus_full,0.0003261019190916835,0.017945884749886926,0.017619782830795242,history_L32,1.0,938,2.0
CS2_36,Group_DischargeIC,4,MAE_minus_full,-6.464013815460357e-05,0.01755514269264064,0.017619782830795242,history_L32,1.0,938,4.0
CS2_37,Group_CC,4,MAE_minus_full,0.0003534925891725046,0.015040911223063126,0.014687418633890621,history_L32,1.0,1003,1.0
CS2_37,Group_CV,4,MAE_minus_full,5.4543181134385915e-06,0.01469287295200406,0.014687418633890621,history_L32,1.0,1003,3.0
CS2_37,Group_EnergyEfficiency,4,MAE_minus_full,0.00017372787324137703,0.014861146507131998,0.014687418633890621,history_L32,1.0,1003,2.0
